code	name_fr	code_tel	name_en	name_ar	code_post
27	Mostaganem	45	Mostaganem	مستغانم	27000
12	Tébessa	37	Tébessa	تبسة	12000
20	Saïda	48	Saïda	سعيدة	20000
46	Aïn Temouchent	43	Aïn Temouchent	عين تموشنت	46000
8	Béchar	49	Béchar	بشار	08000
40	Khenchela	32	Khenchela	خنشلة	40000
2	Chlef	27	Chlef	الشلف	02000
38	Tissemsilt	46	Tissemsilt	تسمسيلت	38000
9	Blida	25	Blida	البليدة	09000
24	Guelma	37	Guelma	قالمة	24000
43	Mila	31	Mila	ميلة	43000
47	Ghardaia	29	Ghardaia	غرداية	47000
29	Mascara	45	Mascara	معسكر	29000
25	Constantine	31	Constantine	قسنطينة	25000
16	Alger	21	Alger	الجزائر	16000
7	Biskra	33	Biskra	بسكرة	07000
11	Tamanrasset	29	Tamanrasset	تمنراست	11000
33	Illizi	29	Illizi	إليزي	33000
34	Bordj Bou Arreridj	35	Bordj Bou Arreridj	برج بوعريريج	34000
41	Souk Ahras	37	Souk Ahras	سوق الأهراس	41000
26	Medea	25	Medea	المدية	26000
18	Jijel	34	Jijel	جيجل	18000
48	Relizane	46	Relizane	غليزان	48000
4	Oum El Bouaghi	32	Oum El Bouaghi	أم البواقي	04000
15	Tizi Ouzou	26	Tizi Ouzou	تيزي وزو	15000
17	Djelfa	27	Djelfa	الجلفة	17000
14	Tiaret	46	Tiaret	تيارت	14000
22	Sidi Bel Abbes	48	Sidi Bel Abbes	سيدي بلعباس	22000
21	Skikda	38	Skikda	سكيكيدة	21000
30	Ouargla	29	Ouargla	ورقلة	30000
32	El Bayadh	49	El Bayadh	البيض	32000
6	Bejaia	34	Bejaia	بجاية	06000
23	Annaba	38	Annaba	عنابة	23000
13	Tlemcen	43	Tlemcen	تلمسان	13000
10	Bouira	26	Bouira	البويرة	10000
1	Adrar	49	Adrar	أدرار	01000
19	Sétif	36	Sétif	سطيف	19000
31	Oran	41	Oran	وهران	31000
42	Tipaza	24	Tipaza	تيبازة	42000
44	Aïn Defla	27	Aïn Defla	عين الدفلى	44000
37	Tindouf	49	Tindouf	تندوف	37000
35	Boumerdes	24	Boumerdes	بومرداس	35000
36	El Tarf	38	El Tarf	الطارف	36000
3	Laghouat	29	Laghouat	الأغواط	03000
28	M'Sila	35	M'Sila	المسيلة	28000
5	Batna	33	Batna	باتنة	05000
39	El Oued	32	El Oued	الوادي	39000
45	Naama	49	Naama	النعامة	45000
